Brand,Price,Original Price,Discount,Rating,Reviews,Product Link,Image URL
Vincent Chase,₹1400,₹ 1900,(26% OFF),4.8,2579,https://www.lenskart.com/vincent-chase-vc-e13393-c2-eyeglasses.html,https://static5.lenskart.com/media/catalog/product/pro/1/thumbnail/628x301/9df78eab33525d08d6e5fb8d27136e95//v/i/vincent-chase-vc-e13393-c2-eyeglasses_vincent-chase-vc-e13393-c2-eyeglasses_G_5012.jpg
John Jacobs,₹3300,₹ 3900,(15% OFF),4.7,791,https://www.lenskart.com/john-jacobs-jj-e10118-c7-eyeglasses.html,https://static5.lenskart.com/media/catalog/product/pro/1/thumbnail/628x301/9df78eab33525d08d6e5fb8d27136e95//j/o/john-jacobs-jj-e10118-c7-eyeglasses_john-jacobs-jj-e10118-c7-eyeglasses_g_2562.jpg
Lenskart Air,₹1400,₹ 1900,(26% OFF),4.8,684,https://www.lenskart.com/lenskart-air-la-e15494-c1-eyeglasses.html,https://static5.lenskart.com/media/catalog/product/pro/1/thumbnail/628x301/9df78eab33525d08d6e5fb8d27136e95//l/i/black-red-full-rim-rectangle-lenskart-air-classic-la-e15494-c1-eyeglasses_g_7575_24_12_2022.jpg
Vincent Chase,₹1400,₹ 1900,(26% OFF),4.8,974,https://www.lenskart.com/vincent-chase-vc-e13496-c5-eyeglasses.html,https://static5.lenskart.com/media/catalog/product/pro/1/thumbnail/628x301/9df78eab33525d08d6e5fb8d27136e95//v/i/vincent-chase-vc-e13496-c5-eyeglasses_csvfile-1687497664973-g_2542.jpg
John Jacobs,₹4300,₹ 4900,(12% OFF),4.9,333,https://www.lenskart.com/john-jacobs-jj-e12342-c2-eyeglasses.html,https://static5.lenskart.com/media/catalog/product/pro/1/thumbnail/628x301/9df78eab33525d08d6e5fb8d27136e95//j/o/john-jacobs-jj-e12342-c2-eyeglasses_john-jacobs-jj-e12342-c2-eyeglasses_G_3286.jpg
Lenskart Air,₹1400,₹ 1900,(26% OFF),4.9,2237,https://www.lenskart.com/lenskart-air-la-e14016-c5-eyeglasses.html,https://static5.lenskart.com/media/catalog/product/pro/1/thumbnail/628x301/9df78eab33525d08d6e5fb8d27136e95//l/i/green-transparent-gold-green-full-rim-rectangle-lenskart-air-signia-la-e14016-c5-eyeglasses_g_3324_06_oct22.jpg
John Jacobs,₹4300,₹ 4900,(12% OFF),4.8,45,https://www.lenskart.com/john-jacobs-jj-e70136-black-eyeglasses.html,https://static5.lenskart.com/media/catalog/product/pro/1/thumbnail/628x301/9df78eab33525d08d6e5fb8d27136e95//j/i/black-full-rim-rectangle-john-jacobs-jj-rich-acetate-jj-e70136-eyeglasses_dsc2257_11_02_2025.jpg
Lenskart Air,₹1400,₹ 1900,(26% OFF),4.8,1089,https://www.lenskart.com/lenskart-air-la-e11481-full-rim-rectangle-ultem-c1-eyeglasses.html,https://static5.lenskart.com/media/catalog/product/pro/1/thumbnail/628x301/9df78eab33525d08d6e5fb8d27136e95//l/i/Black-Full-Rim-Rectangle-Lenskart-Air-Flex-LA-E11481-C1-Eyeglasses_lenskart-air-la-e11481-foll-rim-rectangle-ultem-c1-eyeglasse_g_420907_02_2022.jpg
Vincent Chase,₹1400,₹ 1900,(26% OFF),4.8,645,https://www.lenskart.com/vincent-chase-vc-e16607-c1-eyeglasses.html,https://static5.lenskart.com/media/catalog/product/pro/1/thumbnail/628x301/9df78eab33525d08d6e5fb8d27136e95//v/i/blue-transparent-blue-full-rim-square-vincent-chase-classic-acetate-vc-e16607-c1-eyeglasses_img_6294_09_02_2024.jpg
John Jacobs,₹3300,₹ 3900,(15% OFF),4.8,138,https://www.lenskart.com/john-jacobs-jj-e70057/m-c3-eyeglasses.html,https://static5.lenskart.com/media/catalog/product/pro/1/thumbnail/628x301/9df78eab33525d08d6e5fb8d27136e95//j/i/gunmetal-full-rim-rectangle-john-jacobs-supreme-steel-jj-e70057-m-c3-eyeglasses__dsc4862_14_10_2024.jpg
